fecha,hora,temperatura,visibilidad_km,lluvia,viento_kmh,estado_operacional
2026-05-08,05:00,21,10,No,8,Normal
2026-05-08,06:00,22,8,Si,14,Precaución
2026-05-08,07:00,22,7,Si,18,Precaución
2026-05-08,08:00,24,10,No,9,Normal
2026-05-08,09:00,25,9,No,11,Normal
2026-05-08,10:00,26,10,No,13,Normal
2026-05-08,11:00,27,10,No,15,Normal
2026-05-08,12:00,28,9,No,17,Normal
2026-05-08,13:00,29,8,Si,22,Precaución
2026-05-08,14:00,28,7,Si,25,Retrasos
2026-05-08,15:00,27,6,Si,28,Retrasos
2026-05-08,16:00,26,8,No,18,Normal
2026-05-08,17:00,25,9,No,14,Normal
2026-05-08,18:00,24,10,No,12,Normal
2026-05-08,19:00,23,10,No,10,Normal
2026-05-08,20:00,22,9,No,9,Normal
